tag,family,topology,mix_depth_frac,seed,diffuse_frac,theta,rho,control,params_json
P5_j00,floor,pyramid,,23,d100,0.0,0.0006007355405017734,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,,23,d100,-20.0,0.0010940461652353406,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,,23,d100,20.0,0.0010951333679258823,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,,23,d100,-40.0,0.0013391865650191903,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,,23,d100,40.0,0.0013366296188905835,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d00,0.0,0.0010549318976700306,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d00,-20.0,0.0005680317408405244,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d00,20.0,0.0005745972157455981,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d00,-40.0,0.0005845673149451613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d00,40.0,0.000575874699279666,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d76,0.0,0.0008458372321911156,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d76,-20.0,0.0010912687284871936,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d76,20.0,0.0010918774642050266,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d76,-40.0,0.0014498453820124269,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d76,40.0,0.0014184541068971157,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d100,0.0,0.0008057410013861954,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d100,-20.0,0.0012640443164855242,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d100,20.0,0.0012651293072849512,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d100,-40.0,0.0017147964099422097,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f10,floor,pyrmix,1.0,23,d100,40.0,0.0017060417449101806,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 1.0, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d00,0.0,0.001097744912840426,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d00,-20.0,0.0005135442479513586,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d00,20.0,0.0005244184867478907,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d00,-40.0,0.0006734445923939347,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d00,40.0,0.0007307452615350485,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d76,0.0,0.001184883527457714,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d76,-20.0,0.001216231263242662,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d76,20.0,0.0012310415040701628,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d76,-40.0,0.0015824660658836365,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d76,40.0,0.0015896905679255724,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d100,0.0,0.0012525345664471388,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d100,-20.0,0.0014568771002814174,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d100,20.0,0.0014574562665075064,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d100,-40.0,0.0018776347860693932,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
P53_mix_f05,floor,pyrmix,0.5,23,d100,40.0,0.0018657982582226396,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyrmix"", ""margin_depths"": 2.0, ""mix_depth_frac"": 0.5, ""pitch"": 5.500550055005501, ""winding"": ""out""}"
